agent_id,agent_file,agent_title,mode,target,status,prompt_path,files_inspected,files_changed,verification,notes
00,00-chapter-lead.md,00-chapter-lead,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\00-chapter-lead.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-00-00-chapter-lead.md
01,01-curriculum-alignment.md,01-curriculum-alignment,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\01-curriculum-alignment.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-01-01-curriculum-alignment.md
02,02-deep-explanation.md,02-deep-explanation,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\02-deep-explanation.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-02-02-deep-explanation.md
03,03-teaching-flow.md,03-teaching-flow,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\03-teaching-flow.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-03-03-teaching-flow.md
04,04-student-advocate.md,04-student-advocate,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\04-student-advocate.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-04-04-student-advocate.md
05,05-cognitive-load.md,05-cognitive-load,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\05-cognitive-load.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-05-05-cognitive-load.md
06,06-example-analogy.md,06-example-analogy,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\06-example-analogy.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,285,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-06-06-example-analogy.md
07,07-exercise-designer.md,07-exercise-designer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\07-exercise-designer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-07-07-exercise-designer.md
08,08-code-pedagogy.md,08-code-pedagogy,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\08-code-pedagogy.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-08-08-code-pedagogy.md
09,09-visual-learning.md,09-visual-learning,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\09-visual-learning.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-09-09-visual-learning.md
10,10-misconception-analyst.md,10-misconception-analyst,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\10-misconception-analyst.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-10-10-misconception-analyst.md
11,11-fact-integrity.md,11-fact-integrity,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\11-fact-integrity.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-11-11-fact-integrity.md
12,12-terminology-keeper.md,12-terminology-keeper,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\12-terminology-keeper.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-12-12-terminology-keeper.md
13,13-cross-reference.md,13-cross-reference,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\13-cross-reference.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-13-13-cross-reference.md
14,14-narrative-continuity.md,14-narrative-continuity,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\14-narrative-continuity.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-14-14-narrative-continuity.md
15,15-style-voice.md,15-style-voice,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\15-style-voice.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-15-15-style-voice.md
16,16-engagement-designer.md,16-engagement-designer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\16-engagement-designer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,285,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-16-16-engagement-designer.md
17,17-senior-editor.md,17-senior-editor,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\17-senior-editor.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-17-17-senior-editor.md
18,18-research-scientist.md,18-research-scientist,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\18-research-scientist.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-18-18-research-scientist.md
19,19-structural-architect.md,19-structural-architect,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\19-structural-architect.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-19-19-structural-architect.md
20,20-content-update-scout.md,20-content-update-scout,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\20-content-update-scout.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-20-20-content-update-scout.md
21,21-self-containment-verifier.md,21-self-containment-verifier,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\21-self-containment-verifier.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-21-21-self-containment-verifier.md
22,22-opening-hook-designer.md,22-opening-hook-designer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\22-opening-hook-designer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-22-22-opening-hook-designer.md
23,23-project-catalyst.md,23-project-catalyst,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\23-project-catalyst.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-23-23-project-catalyst.md
24,24-aha-moment-engineer.md,24-aha-moment-engineer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\24-aha-moment-engineer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-24-24-aha-moment-engineer.md
25,25-visual-identity-director.md,25-visual-identity-director,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\25-visual-identity-director.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-25-25-visual-identity-director.md
26,26-demo-simulation-designer.md,26-demo-simulation-designer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\26-demo-simulation-designer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-26-26-demo-simulation-designer.md
27,27-memorability-designer.md,27-memorability-designer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\27-memorability-designer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,285,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-27-27-memorability-designer.md
28,28-skeptical-reader.md,28-skeptical-reader,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\28-skeptical-reader.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-28-28-skeptical-reader.md
29,29-prose-clarity-editor.md,29-prose-clarity-editor,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\29-prose-clarity-editor.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-29-29-prose-clarity-editor.md
30,30-readability-pacing-editor.md,30-readability-pacing-editor,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\30-readability-pacing-editor.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-30-30-readability-pacing-editor.md
31,31-illustrator.md,31-illustrator,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\31-illustrator.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-31-31-illustrator.md
32,32-epigraph-writer.md,32-epigraph-writer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\32-epigraph-writer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-32-32-epigraph-writer.md
33,33-application-example.md,33-application-example,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\33-application-example.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-33-33-application-example.md
34,34-fun-injector.md,34-fun-injector,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\34-fun-injector.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,285,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-34-34-fun-injector.md
35,35-bibliography.md,35-bibliography,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\35-bibliography.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-35-35-bibliography.md
36,36-meta-agent.md,36-meta-agent,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\36-meta-agent.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-36-36-meta-agent.md
37,37-controller.md,37-controller,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\37-controller.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-37-37-controller.md
38,38-publication-qa.md,38-publication-qa,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\38-publication-qa.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,379,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-38-38-publication-qa.md
39,39-figure-fact-checker.md,39-figure-fact-checker,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\39-figure-fact-checker.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-39-39-figure-fact-checker.md
40,40-code-caption-agent.md,40-code-caption-agent,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\40-code-caption-agent.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-40-40-code-caption-agent.md
41,41-lab-designer.md,41-lab-designer,implement,all section HTML files and chapter index files,completed,.book-writers\runs\20260621-42agent-bookwide\agent-prompts\41-lab-designer.prompt.md,379 sections; 60 chapter indexes; 42 agent specs,0 direct edits; findings integrated through reports and orchestrated wave edits,"scripts/audit_html_book.py passed: 472 HTML files, 9976 links, 0 missing, 0 banned, 0 required failures",Report: .book-writers\runs\20260621-42agent-bookwide\agent-reports\agent-41-41-lab-designer.md
